Name of Contributor and date of Contribution,Date of event (M/D/YYYY),Source,Citation (MLA),Violation,Summary,Notes,Classification,
,5/30/2025,Trump Taps Palantir to Compile Data on Americans - NYT,"Frenkel, Sheera and Krolik, Aaron. ""Trump Taps Palantir to Compile Data on Americans."" The New York Times, 30 May 2025. https://www.nytimes.com/2025/05/30/technology/trump-palantir-data-americans.html","Mass data-collection and surveillance efforts have happened in America post 9/11. However, the right to privacy is an unofficial right that has been cherished by American citizens for a long time. Additionally, a mass-surveillance system could be used to suppress dissent and continue democratic erosion. However, it is unclear that is the administration's goal. ","The Trump Administration has partnered with data analysis firm Palantir in order to facilitate data sharing across the United States Government. The company has received at least $113 million in government spending since the beginning of the Trump administration. The administration has already sought data about US citizens, including bank account info, student debt balance, medical claims, and disability status. The administration has said this is an effort to streamline government effeciency and eliminate data silos, while privacy advocates and critics worry this could be an effort to identify and suppress critics. ",,Social Contradictions,
,6/15/2025,"‘I’m an American, Bro!’: Latinos Report Raids in Which U.S. Citizenship Is Questioned - NYT","Medina, Jennifer. ""‘I’m an American, Bro!’: Latinos Report Raids in Which U.S. Citizenship Is Questioned."" The New York Times, 15 June 2025. https://www.nytimes.com/2025/06/15/us/hispanic-americans-raids-citizenship.html Accessed 16 June 2025. ","Racial profiling represents a vioation of the 14th ammendment, which requires equal protection under the law. ","Hispanic US Citizens in California have reported incidents where they were detained and questioned by police, with some even being arrested. U.S. citizen Javier Ramirez was reportedly arrested and moved to a federal detention center, where he remains in custody. US Customs and Border Protections dispute the allegations of racial profiling, claiming that one detainee had assaulted an officer and interfered with agents, while another was determined to be ""an illegal alien.""",,Unconstitutional ,
,6/21/2025,The Trump-Era Rollback of Transgender Rights Is Gaining Steam - WSJ,"Zitner, Aaron, and Laura Kusisto. “The Trump‑Era Rollback of Transgender Rights Is Gaining Steam.” The Wall Street Journal, 21 June 2025, https://www.wsj.com/politics/policy/transgender-rights-movement-challenges-b8de6e62. Accessed 21 June 2025.","Transgenders right are heavily fraught in the United States, but the administrations action may violate anti-descrimination laws and constituional protections. However, in recent Supreme Court rulings, the judiciary has taken a more deferential approach to transgender rights. ","A large political and legal wave is challenging the rights and privileges of transgender people. 26 state legislatures have restricted gender care for minors, and recently picked up a Supreme Court decision upholding those laws. This wave has been accelerated by the Trump administration, which campaigned on the issue and has ushered in many policy changes affecting the rights of transgender people. ",,Social Contradictions,
,,https://www.washingtonpost.com/nation/2025/07/05/alligator-alcatraz-immigrants-detention-florida/?utm_campaign=wp_the7&utm_medium=email&utm_source=newsletter&carta-url=https%3A%2F%2Fs2.washingtonpost.com%2Fcar-ln-tr%2F43a9121%2F6878d55fc2bee70ac1f54a8d%2F67c125e250eea3687bea84a2%2F27%2F107%2F6878d55fc2bee70ac1f54a8d,,,,,,
,08/06/2025,Migrants Vanish Into Opaque ICE Detention System - WSJ,"Simon, Ruth et. al. ""Migrants Vanish Into Opaque ICE Detention System."" The Wall Street Journal, 6 August 2025. https://www.wsj.com/us-news/law/ice-detention-migrants-vanish-38fd798f?mod=law_more_article_pos3","The frequent transfers disrupt defendants' due process rights, as lawyers struggle to locate and defend their clients in the immigration detention system. The transfers have been described as unprecedented and threaten the constitutional right of due process. ","Under the Trump administration, frequent transfers have obstructed the ability of migrant detainees to defend themselves in courts. The transfers have made it difficult to locate detainees, making it difficult for lawyers. Transfers were criticized during the Biden administration, but have accelerated under Trump. Advocates have raised due process concerns, which the administration denies. ",,Unconstitutional ,
,9/16/2025,Trump Invokes Kirk’s Killing in Justifying Measures to Silence Opponents - NYT,"Kanno-Youngs, Zolan, et. al. ""Trump Invokes Kirk’s Killing in Justifying Measures to Silence Opponents."" The New York Times, 16 September 2025. https://www.nytimes.com/2025/09/16/us/politics/trump-kirk-free-speech-hate-speech-left.html","The Trump administration's impending push against political violence appears to be a one-sided effort that will curtail rights to speech and assembly for ideological opponents of the administration. This would continue the administration's campaign of retribution against liberals, leftists, and their allies that has included attacks on universities, law firms, and former government officials. ","Following the assassination of Charlie Kirk, the Trump administration has indicated it will target liberal groups, revoke visas for people who are seen to be ""celebrating"" the assassination, and designate certain groups as domestic terrorists. Although political violence has targeted both Democrats and Republicans, the administration's actions seem to focus only on the left wing. ",,Norm Violation,
,1/17/2026,ICE says Cuban immigrant died while attempting suicide. A witness says guards pinned and choked him - NYT,"Biesecker, Michael, et. al. ""ICE says Cuban immigrant died while attempting suicide. A witness says guards pinned and choked him."" The Associated Press, 7 August 2025.  ",A homicide violates federal rules and a human's right to life. Wrongful homicide by a law enforcement officer is a violaiton of somone Constitutional Rights. ,"A Cuban immigrant died in ICE custody during an altercation with guards. Although the federal government claimed that the detainee was attempting suicide and staff intervened to try to save him, a witness told the AP that Lunas Campos died after he was handcuffed, tackled by guards, and placed in a chokehold until he lost consciousness. The immigrant's family was told by the El Paso County Medical Exhaminer's Office that a preliminary autopsy report ruled the death a homicide. ",,Unconstitutional ,
,1/21/2026,"Immigration officers assert sweeping power to enter homes without a judge’s warrant, memo says - AP","Santana, Rebecca. ""Immigration officers assert sweeping power to enter homes without a judge’s warrant, memo says."" The Associated Press, 21 January 2026. ",This is a reversal of longstanding guidance and may conflict with the Fourth Amendment. ,"An internal ICE memo authorizes ICE Officers to use force to enter a residence with only an administrative warrant to arrest someone with a final order of removal, which is not signed by judges. ",,Unconstitutional ,
,3/5/2026,How a DHS shooting of a third U.S. citizen went unnoticed for months - NYT,"Klemko, Robert. ""How a DHS shooting of a third U.S. citizen went unnoticed for months."" The New York Times, 5 March 2026. https://www.washingtonpost.com/immigration/2026/03/05/texas-dhs-shooting-citizen-killed/","The shooting lacks footage or transparency, making any conclusive determinations on its legality difficult. The lack of transparency is a worrying violation of democratic norms relating to government accountability and transparency. ","Ruben Ray Martinez, a 23-year-old US citizen, was shot and killed by a Department of Homeland Security agent on March 15, 2025. When Martinez was killed, the South Padre Island Police issued a press release but did not identify the agency responsible for his death, while a police report described Martinez striking a federal agent with his vehicle but did not mention the shooting. No footage has been released thus far. There are conflicting accounts on the nature of the interaction between Martinez and the federal agent.",,Norm Violation,
,6/17/2026,ICE removed detainee protections after private outreach from top contractor - WaPo,"MacMillan, Douglas. ""ICE removed detainee protections after private outreach from top contractor."" The Washington Post, 17 June 2026. https://www.washingtonpost.com/business/2026/06/16/ice-removed-detainee-protections-after-private-outreach-top-contractor/","According to immigration activists, the changes risk harming the standard of care in immigration facilities and could violate human rights and local laws. ","ICE revised its regulations of its immigration detention standards, no longer requiring contractors to comply with state or local laws and specifies that detainees are not employees “and are not entitled to wages or benefits under applicable wage laws or labor regulations.” The changes came after GeoGroup, a top contractor, asked for similar changes. ",,Norm Violation,
,4/6/2026,Newly Obtained Video of Minneapolis Shooting Undermines ICE Account - NYT,"Londoño, Ernesto, et. al. ""Newly Obtained Video of Minneapolis Shooting Undermines ICE Account."" The New York Times, 6 April 2026. https://www.nytimes.com/2026/04/06/us/minnesota-ice-shooting-video.html","Although the footage does not conclusively determine if the agent legally deployed deadly force, it contradicts his justification and account. Illegally deploying deadly force would violate the 4th Amendment. ","Video footage contradicts an ICE agent's account of his shooting of Julio Sosa-Celis, a Venezuelan immigrant. The agent had initially claimed that three men had beaten him with a shovel and broom for minutes before he opened fire. Video footage instead shows a confrontation that lasted twelve seconds without any sustained attack by a shovel. Sosa-Celis and his housemate, Alfredo Aljorna, were initially charged criminally, before the charges were dropped. ","I'm not sure if this arises to the level of a violation. Police brutality is unfortunately consistent across administrations and an accidental lapse could happen in many administrations. However, the lack of transparency and coordination between law enforcement agencies may have contributed to this situation? ",Social Contradictions,
,5/4/2026,Internal ICE records reveal widespread use of force in detention centers - WaPo,"MacMillan, Douglas, et. al. ""Internal ICE records reveal widespread use of force in detention centers."" The Washington Post, 4 May 2026. https://www.washingtonpost.com/business/2026/05/04/ice-detention-centers-force/","The increase in force usage may indicate concerning conditions in ICE detention centers and the possible violation of detainees' constitutional rights. Without a full investigation, it is difficult to conclusively determine if constitutional rights have been violated, but the unprecedented increase in force is clear.  ","During the first year of the Trump administration, ICE detention staff used force 37% more than in previous years, and the number of people subjected to force increased by 54%. At least 106 detainees have been injured in use-of-force incidents. In some cases, the incidents occurred after detainees asked for items they are legally entitled to, like food and water. ",,Norm Violation,
