Name of contributor and date uploaded,Date of event (M/D/YYYY),Source,Citation (MLA),Action,Resistance,Notes,Classification,
,10/18/2025,‘No More Trump!’: Protesters Denouncing the President Unite Across the Country - NYT,"Knoll, Corina. ""‘No More Trump!’: Protesters Denouncing the President Unite Across the Country."" The New York Times, 18 October 2025. https://www.nytimes.com/2025/10/18/us/protests-trump-no-kings.html",The mass demonstrations show significant public backlash against the Trump administration and some level of civil society will and capacity to resist authoritarian backlash. ,"Daylong mass demonstrations took place against the Trump administration in over 2,600 different locations across the country. The protests were part of the No Kings Demonstrations, which held similar protests in July. According to organizers, the protests drew seven million people. ",https://www.bbc.com/news/articles/c93xgyp1zv4o,,
,03/05/2026,Lindsey Halligan Is Under Investigation by the Florida Bar - NYT,"Barrett, Devlin and Jonah Bromwhich. ""Lindsey Halligan Is Under Investigation by the Florida Bar."" The New York Times, 5 March 2026. https://www.nytimes.com/2026/03/05/us/politics/lindsey-halligan-investigation-florida-bar.html",The investigation by the Florida Bar Association shows that civil society could possibly serve as a check on legal misconduct by Trump administration officials. ,"The Florida Bar Association has opened an investigation into Lindsay Halligan, the former US Attorney of the Eastern District of Virginia. Last year, a Federal Judge ruled that Halligan was illegally appointed. As legal proceedings were ongoing, Halligan resigned in January. During her tenure, she brought criminal cases against President Trump's enemies.  ",,,
,1/29/2026,ICE has expanded its mass surveillance efforts. Online activists are fighting back. - POLITICO,"Nickel, Dana, and Alfreg Ng. ""ICE has expanded its mass surveillance efforts. Online activists are fighting back."" Politico, 29 January 2026. https://www.politico.com/news/2026/01/29/ice-tracking-tools-protesters-00755703","Civil society, hacker groups, and activists are resisting federal surveillance through their own digital tools. The legality of these efforts is unclear and many are under investigation by law-enforcement. ","In response to increased surveillance efforts by federal agencies, online activists and hacker groups are resisting in a number of ways: websites to report ICE raid locations, sharing the names and personal information of ICE and DHS agents, and interfering with cameras and other surveillance devices. The efforts are being investigated by the FBI and other federal agencies. ",,,
,3/23/2026,Voice of America staff allege Kari Lake violated its independence in lawsuit - WaPo,"Nover, Scott. ""Voice of America staff allege Kari Lake violated its independence in lawsuit."" The Washington Post, 23 March 2026. https://www.washingtonpost.com/business/2026/03/23/voice-of-america-lawsuit-trump-firewall/ ",The lawsuit alleges that the federal government is violating the law by interfering with Voice of America's coverage and c ,"Voice of America Journalists sued the federal government alledging that it violated a law protecting the broadcaster's editorial independence. It also accused the agency of censoring coverage of the Iran Crisis and publishing ""propaganda"" in support of President Trump. ",,,
,3/28/2026,Iran and Immigration Frustrations Fuel New Wave of ‘No Kings’ Rallies - NYT ,"Fuller, Thomas. ""Iran and Immigration Frustrations Fuel New Wave of ‘No Kings’ Rallies."" The New York Times, 28 March 2026. https://www.nytimes.com/2026/03/28/us/no-kings-trump-iran-immigration-minnesota.html",The protests show active nationwide disapproval by millions of Americans.  ,"On March 28, 2026, nationwide protests occurred as part of the ""No Kings"" movement. The protests denounced President Trump and much of his second term agenda. The organizers said that 8 million people took place, but their estimates in some cities were higher than those of public officials. ",,,
,3/24/2026,Minnesota sues Trump administration over withheld evidence in shootings - WaPo,"Hennessy-Fiske, Molly, and Roebuck, Jeremy. ""Minnesota sues Trump administration over withheld evidence in shootings."" The Washington Post, 24 March 2026. https://www.washingtonpost.com/nation/2026/03/24/minnesota-shootings-evidence-lawsuit-ice/",The lawsuit appears to be an effort to compell transparency and a fair investigation into the shootings. ,"Minnesota officials sued the Departments of Homeland Security and Justice, alleging that federal officials refused to cooperate with state efforts to investigate three shootings by federal officers during this year's immigration crackdown. Federal officers shot Renée Good, Alex Pretti, and Julio Sosa-Celis. Good and Pretti died. ",,,
,4/17/2026,Prosecutor Withdraws From Trump Team’s Investigation of Ex-C.I.A. Chief - NYT,"Savage, Charlie, et. al. ""Prosecutor Withdraws From Trump Team’s Investigation of Ex-C.I.A. Chief."" The New York Times, 17 April 2026. https://www.nytimes.com/2026/04/17/us/justice-dept-trump-investigation-cia-brennan.html","Although it is unclear, this may be an example of internal dissent toward President Trump's effort to investigate political enemies.  ",Federal prosecutor Maria Medetis Long has withdrawn from the federal investigation into former CIA Director John Brennan over concerns about the legal viability over the case. The exact circumstances of her departure are unclear. Brennan is under investigation for his role in the US Government's attempt to understand the relationship between Russia and the 2016 Trump campaign.,,,
,5/18/2026,"New York Times files new Defense Dept. suit, challenging escort requirement - WaPo","Nover, Scott. ""New York Times files new Defense Dept. suit, challenging escort requirement."" The Washington Post, 18 May 2026. https://www.washingtonpost.com/business/2026/05/18/new-york-times-files-new-pentagon-suit-challenging-escort-requirement/",The New York Times is suing to force the administration to withdraw a policy that will hurt press access and freedom. ,"The New York Times sued the Defense Department over its interim press policy, which mandates that reporters be escorted while on Pentagon grounds. Judge Paul L. Friedman had already struck down the interim policy, but an appeals court stayed that ruling while the administration appeals the case. ",,,
,6/23/2026,"DOJ issued subpoenas to force Post, WSJ reporters to testify before grand jury - WaPo","Stein, Perry. ""DOJ issued subpoenas to force Post, WSJ reporters to testify before grand jury."" The Washington Post, 23 June 2026. https://www.washingtonpost.com/national-security/2026/06/23/doj-issued-then-withdrew-subpoenas-force-post-wsj-reporters-testify/","A news organization successfully challenged the subpoenas. Journalists rarely testify in legal proceedings. While it is not entirely unprecedented for journalists to testify, the number of subpoenas sought against journalists by the second Trump administration is notable. ","The Justice Department sought subpoenas for Washington Post reporter Ellen Nakashima and three Wall Street Journal reporters, but withdrew the subpoenas after they were challenged by the news organizations. The subpoenas were related to national security matters.  ",,,
,5/18/2026,ICE agent charged in shooting of immigrant during Minneapolis crackdown - WaPo,"Hernández, Arelis. ""ICE agent charged in shooting of immigrant during Minneapolis crackdown."" The Washington Post, 18 May 2026. https://www.washingtonpost.com/immigration/2026/05/18/ice-agent-charged-shooting-immigrant-during-minneapolis-crackdown/","In this case, local prosecutors are attempting to hold ICE Agents accountable when the federal government is not. The Department of Homeland Security is alleged to have attempted to deport people who witnessed the crime, while Hennepin County Attorney Mary Moriarti accused the FBI of attempting to stonewall the investigation.  ","Local Minnesota prosecutors have charged ICE Agent Christian J. Castro with multiple second-degree felony assault charges for his alleged shooting of Julio C. Sosa-Celis. Prosecutors allege that Castro fired his weapon into the home, undermining the officer's account that he was in imminent danger. ",,,
,6/26/2026,Yale Seeks Trump Administration Deal as It Faces Sprawling Investigation - NYT,"Schmidt, Michael S. et al. ""Yale Seeks Trump Administration Deal as It Faces Sprawling Investigation."" The New York Times, 26 June 2026. https://www.nytimes.com/2026/06/26/us/politics/yale-trump-administration-admissions-race.html","As the article adds, the investigation and potential settlement are part of the Trump administration's pressure campaign against elite universities. Higher-education institutions serve an integral role in democracy by serving as grounds for political discourse and historical recordkeeping. Their independence has long been respected in America, and a settlement is noteworthy.  ",Yale University is reportedly pursuing a settlement with the US Government over the Trump administration's investigation into whether Yale University's admissions practices violate anti-discrimination laws. The Justice Department accused Yale Medical School of illegally giving preferential treatment to Black and Hispanic applicants. Sources say Yale has offered a potential agreement to the government. ,,Norms Violation,
